packet_length,src_port,dst_port,protocol,timestamp
54,443,56964,6,1741910946.8553522
85,443,57041,6,1741910946.9234693
60,443,57041,6,1741910946.9234693
54,57041,443,6,1741910946.9234693
87,5353,5353,17,1741910947.164189
103,5353,5353,17,1741910947.2738888
167,58888,1900,17,1741910947.515211
217,49293,1900,17,1741910947.6514904
103,5353,5353,17,1741910948.291835
78,52449,53,17,1741910948.5199542
137,53,52449,17,1741910948.525142
86,57621,57621,17,1741910948.5401142
66,57056,8886,6,1741910948.5521052
66,57054,8886,6,1741910948.5530996
66,57049,8886,6,1741910948.5540967
66,57051,8886,6,1741910948.555094
66,57053,8886,6,1741910948.5560913
66,57050,8886,6,1741910948.5580866
66,57058,8886,6,1741910948.5590835
66,57059,8886,6,1741910948.5600827
66,57052,8886,6,1741910948.5610783
66,57055,8886,6,1741910948.5620751
66,57057,8886,6,1741910948.562969
66,57060,8886,6,1741910948.6070473
66,57061,8886,6,1741910948.6070473
66,57062,8886,6,1741910948.637412
66,57063,8886,6,1741910948.6384127
66,57064,8886,6,1741910948.63941
66,57065,8886,6,1741910948.6404047
217,49293,1900,17,1741910948.66508
175,52646,1900,17,1741910949.622623
175,52654,1900,17,1741910949.622623
234,5353,5353,17,1741910951.2944334
93,5353,5353,17,1741910951.2944334
93,5353,5353,17,1741910951.4977326
93,5353,5353,17,1741910951.7739153
299,5353,5353,17,1741910952.0288882
235,5353,5353,17,1741910952.0445125
88,52449,53,17,1741910952.2113783
88,52449,53,17,1741910952.2465298
454,53,52449,17,1741910952.2575006
66,57066,443,6,1741910952.2594953
66,443,57066,6,1741910952.2604933
54,57066,443,6,1741910952.2614892
571,57066,443,6,1741910952.2624896
54,443,57066,6,1741910952.2634842
454,53,52449,17,1741910952.3183618
66,57055,8886,6,1741910952.5757527
66,57049,8886,6,1741910952.5757527
66,57056,8886,6,1741910952.5757527
66,57053,8886,6,1741910952.5757527
66,57052,8886,6,1741910952.5757527
66,57051,8886,6,1741910952.5757527
66,57054,8886,6,1741910952.5830312
66,57050,8886,6,1741910952.5840352
66,57058,8886,6,1741910952.585032
66,57059,8886,6,1741910952.5860293
66,57057,8886,6,1741910952.5870256
70,0,0,1,1741910952.5890217
66,57060,8886,6,1741910952.6172283
66,57061,8886,6,1741910952.6182308
66,57062,8886,6,1741910952.6516078
66,57064,8886,6,1741910952.6533992
66,57063,8886,6,1741910952.6553822
66,57065,8886,6,1741910952.656376
103,5353,5353,17,1741910952.7640228
153,443,57066,6,1741910952.9647489
487,57066,443,6,1741910952.9647489
54,443,57066,6,1741910952.9647489
418,63589,445,6,1741910953.0181534
298,445,63589,6,1741910953.0181534
146,63589,445,6,1741910953.0181534
182,445,63589,6,1741910953.0270734
54,63589,445,6,1741910953.068167
1514,443,57066,6,1741910953.1349604
1514,443,57066,6,1741910953.1349604
1514,443,57066,6,1741910953.1349604
82,443,57066,6,1741910953.1349604
54,57066,443,6,1741910953.1349604
695,57066,443,6,1741910953.1505144
54,443,57066,6,1741910953.1515176
157,443,57066,6,1741910953.3125732
553,443,57066,6,1741910953.3135684
81,443,57066,6,1741910953.3145635
60,443,57066,6,1741910953.315561
54,57066,443,6,1741910953.3165581
78,57066,443,6,1741910953.3185537
54,57066,443,6,1741910953.3195524
60,443,57066,6,1741910953.3205495
60,443,57066,6,1741910953.321547
164,49810,1900,17,1741910953.482475
78,54477,53,17,1741910953.5244253
137,53,54477,17,1741910953.5267687
212,53797,1900,17,1741910954.2394767
212,53797,1900,17,1741910955.2444184
86,57621,57621,17,1741910955.3470943
164,47600,1900,17,1741910955.380095
212,53797,1900,17,1741910956.2476945
92,137,137,17,1741910956.5416763
124,53438,443,6,1741910956.5892203
60,443,53438,6,1741910956.5892203
92,137,137,17,1741910956.6257346
216,138,138,17,1741910956.6277275
92,137,137,17,1741910956.6395154
73,54477,53,17,1741910956.8069882
133,53,54477,17,1741910956.8099809
109,54477,53,17,1741910956.812974
212,53,54477,17,1741910956.8219507
66,57067,443,6,1741910956.8239458
66,443,57067,6,1741910956.824998
54,57067,443,6,1741910956.824998
383,57067,443,6,1741910956.82849
54,443,57067,6,1741910956.8294995
126,443,53438,6,1741910956.8404644
54,53438,443,6,1741910956.8851511
212,53797,1900,17,1741910957.2500253
92,137,137,17,1741910957.2978985
92,137,137,17,1741910957.341381
164,44115,1900,17,1741910957.3872561
1514,443,57067,6,1741910957.3900387
1514,443,57067,6,1741910957.394237
406,443,57067,6,1741910957.3952382
118,57067,443,6,1741910957.3982298
54,443,57067,6,1741910957.4002273
255,57067,443,6,1741910957.4300923
54,443,57067,6,1741910957.433266
233,443,57067,6,1741910957.6726005
429,443,57067,6,1741910957.7112303
54,57067,443,6,1741910957.7122226
718,57067,443,6,1741910957.7142165
54,443,57067,6,1741910957.715217
396,443,57067,6,1741910957.998713
54,57067,443,6,1741910958.0386052
92,137,137,17,1741910958.0498374
167,45419,1900,17,1741910958.1375213
92,137,137,17,1741910958.156701
78,54477,53,17,1741910958.5131419
137,53,54477,17,1741910958.5131419
86,57621,57621,17,1741910958.6956513
167,44316,1900,17,1741910959.2788157
117,5353,5353,17,1741910959.5595376
167,41193,1900,17,1741910960.1524606
66,57068,8886,6,1741910960.531744
66,57070,8886,6,1741910960.5328054
66,57071,8886,6,1741910960.5338764
66,57072,8886,6,1741910960.5349376
66,57073,8886,6,1741910960.5359936
66,57074,8886,6,1741910960.537605
66,57075,8886,6,1741910960.5386076
66,57069,8886,6,1741910960.540605
66,57076,8886,6,1741910960.5416012
82,62502,53,17,1741910960.5425968
70,0,0,1,1741910960.5440898
98,53,62502,17,1741910960.5440898
66,57077,8886,6,1741910960.5485637
66,57078,8886,6,1741910960.549567
66,57079,53,6,1741910960.5858798
66,57080,53,6,1741910960.5858798
66,53,57079,6,1741910960.5858798
66,53,57080,6,1741910960.5858798
54,57079,53,6,1741910960.593777
54,57080,53,6,1741910960.5947778
90,57080,53,6,1741910960.5957763
90,57079,53,6,1741910960.5967724
1514,63697,443,6,1741910960.5987675
1514,63697,443,6,1741910960.599765
1514,63697,443,6,1741910960.6023848
1514,63697,443,6,1741910960.603919
1177,63697,443,6,1741910960.6049178
60,443,63697,6,1741910960.6069102
60,443,63697,6,1741910960.6079075
60,443,63697,6,1741910960.608905
60,443,63697,6,1741910960.6099107
60,443,63697,6,1741910960.6109
193,53,57079,6,1741910960.6122055
234,53,57080,6,1741910960.6188478
54,57080,53,6,1741910960.620846
54,57079,53,6,1741910960.621846
93,443,63697,6,1741910960.6224537
60,53,57080,6,1741910960.6224537
60,53,57080,6,1741910960.6224537
60,53,57079,6,1741910960.6224537
60,53,57079,6,1741910960.62682
54,57080,53,6,1741910960.6278243
